timestep,charge_level,psiL_am,psiT_am,ampL_am,ampT_am,freq_rHz
401,0.378053,0.032521,-0.182685,0.559152,0.428894,0.006695
402,0.378053,-0.551852,-0.220402,0.557757,0.428015,0.006695
403,0.378053,-1.098163,-0.263746,0.557728,0.427228,0.006695
404,0.378053,-1.482968,-0.313011,0.561725,0.426567,0.006695
405,0.378053,-1.654094,-0.368357,0.570046,0.426074,0.006695
406,0.378053,-1.635539,-0.429772,0.580524,0.425805,0.006695
407,0.378053,-1.473457,-0.497039,0.590507,0.425825,0.006695
408,0.378053,-1.188970,-0.569685,0.598172,0.426211,0.006695
409,0.378053,-0.786195,-0.646954,0.602569,0.427048,0.006695
410,0.378053,-0.294286,-0.727766,0.603626,0.428429,0.006695
411,0.378053,0.218340,-0.810704,0.602475,0.430443,0.006695
412,0.378053,0.679909,-0.894005,0.601165,0.433176,0.006880
413,0.378053,1.059835,-0.975566,0.601584,0.436691,0.006880
414,0.378053,1.367816,-1.052969,0.604740,0.441027,0.006880
415,0.378053,1.604725,-1.123535,0.610931,0.446179,0.006880
416,0.378053,1.721380,-1.184391,0.619876,0.452097,0.006880
417,0.378053,1.639959,-1.232560,0.630191,0.458676,0.006880
